custID,Gender,IsRetired,IsMarried,HasChildren,TotalMonthsInContract,HasPhone,ConnectionType,HasAntivirusSubscription,HasCloudBackUp,HasInsurance,HasHelpdeskPrivileges,HasTVPackage,HasMoviePackage,PayTerm,OnlineStatements,PreferredPaymentType,MonthlyBill,TotalFees,MonthlySpend,RetentionCheck,Retention
7025-WCBNE,Male,1,No,No,47,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),59.6,2754,56.39,Yes,Yes
5756-JYOJT,Female,0,No,No,11,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),64.9,£697.25,60.36,Yes,Yes
4710-FDUIZ,Male,0,Yes,No,56,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),100.3,5614.45,100.17,No,No
6030-REHUX,Female,1,Yes,No,28,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.85,3204.4,113.17,Yes,Yes
9548-LIGTA,Male,0,Yes,No,61,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,81.05,£4747.65,84.99,Yes,Yes
5150-LJNSR,Male,0,Yes,Yes,31,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),98.05,£3082.1,100.39,Yes,Yes
8270-RKSAP,Male,0,No,No,9,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,71.62,Yes,Yes
6522-YRBXD,Male,1,Yes,No,35,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.55,3365.4,91.81,Yes,Yes
2640-LYMOV,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.65,38.8,18.77,Yes,Yes
1218-VKFPE,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,233.55,17.0,No,No
3627-FHKBK,Female,0,No,No,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,75.3,71.78,No,No
2865-TCHJW,Female,1,No,No,4,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,90.41,No,No
1423-BMPBQ,Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.0,19,19.42,No,Yes
2393-DIVAI,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,61.7,20.63,Yes,Yes
5192-EBGOV,Female,1,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,85.7,81.16,No,No
4568-KNYWR,Male,0,No,No,52,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),63.25,3342.45,61.58,No,Yes
8752-IMQOS,Male,0,Yes,Yes,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,85.1,16.44,Yes,Yes
0742-LAFQK,Male,0,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,99.15,7422.1,100.11,Yes,Yes
0795-LAFGP,Male,0,Yes,Yes,71,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,93.29,Yes,Yes
0619-OLYUR,Male,0,Yes,No,72,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,106.19,Yes,Yes
5512-IDZEI,Male,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.9,1174.8,22.82,Yes,Yes
0459-SPZHJ,Male,0,Yes,Yes,63,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.5,£5435,80.63,Yes,Yes
0215-BQKGS,Male,0,No,No,30,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,84.1,Yes,Yes
9244-ZVAPM,Male,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,48.84,Yes,Yes
0719-SYFRB,Female,0,No,No,12,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,£713.75,55.66,No,No
8208-EUMTE,Male,0,No,No,16,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,54.85,916.15,59.68,Yes,Yes
5172-MIGPM,Male,0,No,No,4,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,65.55,237.2,63.85,Yes,Yes
1710-RCXUS,Male,0,Yes,No,51,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.35,£4614.55,93.19,Yes,Yes
0374-FIUCA,Male,0,Yes,No,65,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.4,1414.45,23.94,Yes,Yes
5839-SUYVZ,Male,0,No,No,16,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,75.23,Yes,Yes
5173-ZXXXL,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.95,47.7,20.68,Yes,Yes
1096-ADRUX,Female,0,Yes,Yes,66,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),74.25,4859.25,77.01,Yes,Yes
2001-MCUUW,Male,0,No,No,46,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,108.65,£4903.2,109.19,Yes,Yes
2731-GJRDG,Female,0,No,No,32,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.55,3608,106.18,Yes,Yes
4723-BEGSG,Male,0,Yes,No,72,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.65,6094.25,85.04,Yes,Yes
6516-NKQBO,Male,0,Yes,Yes,38,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),81.0,3084.9,78.0,Yes,Yes
8672-OAUPW,Male,0,No,Yes,51,Yes,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),47.85,2356.75,47.32,Yes,Yes
8207-DMRVL,Male,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.55,8306.05,111.53,Yes,Yes
3419-SNJJD,Female,1,Yes,No,65,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,109.32,No,No
6543-CPZMK,Male,0,Yes,Yes,9,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,26.63,No,No
4765-OXPPD,Female,0,Yes,Yes,9,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,65.0,663.05,70.72,No,No
2804-ETQDK,Male,0,No,Yes,66,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1357.1,24.99,Yes,Yes
6689-VRRTK,Female,1,No,No,44,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.8,4860.35,106.66,Yes,Yes
7138-GIRSH,Male,0,No,No,50,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.5,3418.2,67.78,Yes,Yes
9396-ZSFLL,Female,0,No,No,15,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.85,631.4,48.56,Yes,Yes
6464-KEXXH,Male,0,No,No,8,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3,26.11,Yes,Yes
7134-MJPDY,Female,1,No,No,66,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.85,£6976.75,103.43,Yes,Yes
5240-CAOYT,Female,0,No,No,57,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85,87.42,Yes,Yes
4059-IIEBK,Female,0,No,No,7,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,£522.95,79.24,Yes,Yes
4881-JVQOD,Male,1,Yes,Yes,10,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6,33.5,Yes,Yes
0516-UXRMT,Female,0,No,No,62,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,92.05,5755.8,88.47,Yes,Yes
4851-BQDNX,Male,0,Yes,Yes,40,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,88.88,Yes,Yes
5148-HKFIR,Female,0,No,No,20,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,406.95,19.84,Yes,Yes
1009-IRMNA,Female,0,No,No,7,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,137.6,16.66,No,No
3003-CMDUU,Female,0,Yes,No,25,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,2395.7,94.75,Yes,Yes
5016-IBERQ,Male,0,Yes,No,23,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,82.56,Yes,Yes
6797-UCJHZ,Female,1,Yes,No,66,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),104.6,6819.45,106.44,Yes,Yes
2469-DTSGX,Female,1,No,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,109.78,Yes,Yes
4554-YGZIH,Male,1,Yes,No,49,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.05,4547.25,91.14,No,No
5099-BAILX,Male,1,Yes,Yes,43,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,107.95,No,No
9931-KGHOA,Female,0,Yes,No,46,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.0,2473.95,56.55,Yes,Yes
1775-KWJKQ,Male,0,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.85,6562.9,93.68,No,Yes
7665-VIGUD,Male,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,176.3,22.02,Yes,Yes
9411-TPQQV,Female,0,No,No,40,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),54.55,2236.2,47.38,Yes,Yes
7207-RMRDB,Female,0,Yes,Yes,65,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,106.62,No,No
7954-MLBUN,Male,0,No,No,31,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9,95.78,Yes,Yes
2077-DDHJK,Female,0,Yes,No,68,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4911.35,73.36,Yes,Yes
4913-EHYUI,Male,1,Yes,Yes,56,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65,101.03,No,No
0195-IESCP,Male,0,Yes,No,10,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,88.99,No,No
9574-BOSMD,Male,0,Yes,Yes,68,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,1620.2,22.79,Yes,Yes
4580-TMHJU,Female,0,Yes,Yes,43,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,56.15,2499.3,57.04,No,No
0970-ETWGE,Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,90.65,No,No
4908-XAXAY,Female,1,No,No,49,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),89.85,4287.2,92.5,Yes,Yes
8404-VLQFB,Female,0,Yes,Yes,15,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.25,394.85,26.85,Yes,Yes
1626-ERCMM,Male,1,Yes,No,20,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,91.3,Yes,No
0887-HJGAR,Male,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,48.25,No,No
2391-IPLOP,Male,0,Yes,Yes,50,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,69.65,3442.15,60.27,Yes,Yes
5644-PDMZC,Female,1,No,No,2,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.5,161.5,85.92,No,No
3509-GWQGF,Male,1,No,No,24,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.0,1732.6,69.3,Yes,Yes
9576-ANLXO,Female,0,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,£222.3,69.96,No,No
2024-BASKD,Female,0,No,No,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.6,74.6,72.95,No,No
5845-BZZIB,Male,0,Yes,Yes,35,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,655.3,22.7,Yes,Yes
1140-UKVZG,Female,0,No,No,17,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.8,475.25,22.24,Yes,Yes
4160-AMJTL,Female,1,No,No,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.65,164.3,23.79,No,No
5183-SNMJQ,Male,0,No,No,10,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.1,£865.1,92.02,Yes,Yes
8100-PNJMH,Male,0,Yes,Yes,68,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.85,6132.7,90.46,Yes,Yes
7838-LAZFO,Male,0,Yes,No,45,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),78.8,3597.5,80.4,Yes,Yes
4464-JCOLN,Male,0,Yes,Yes,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,21.46,No,No
2085-JVGAD,Male,0,Yes,No,37,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.35,£697.65,26.72,Yes,Yes
5650-VDUDS,Female,0,No,No,4,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.25,96.05,26.94,No,No
8095-WANWK,Female,0,No,No,10,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.25,428.7,47.42,Yes,Yes
3030-ZKIWL,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,23.58,Yes,Yes
9565-FLVCG,Male,0,Yes,Yes,65,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,69.55,4459.15,70.36,Yes,Yes
8755-OGKNA,Female,0,Yes,Yes,57,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,£1167.6,20.21,Yes,Yes
2800-VEQXM,Female,0,No,No,3,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.75,238.1,75.08,Yes,Yes
7538-GWHML,Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,£145.15,67.97,No,No
5533-RJFTJ,Male,0,No,No,49,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,£1453.1,27.46,No,Yes
3859-CVCET,Female,0,No,No,4,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,191.05,42.88,No,No
0214-JHPFW,Female,0,Yes,No,70,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,58.92,Yes,Yes
5642-MHDQT,Female,0,Yes,Yes,53,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,1039.45,22.36,Yes,Yes
3088-FVYWK,Male,0,Yes,Yes,53,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1336.1,27.96,Yes,Yes
3276-HDUEG,Female,0,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.05,75.05,82.81,No,No
9092-GDZKO,Male,0,No,No,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,493.4,32.59,Yes,Yes
0823-HSCDJ,Male,1,No,No,52,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,48.13,No,No
3729-OWRVL,Male,1,No,No,65,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.35,7246.15,107.41,Yes,Yes
2324-AALNO,Female,0,No,No,48,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.55,1203.95,23.58,Yes,Yes
0822-GAVAP,Female,0,No,No,2,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,62.25,37.01,No,No
5760-IFJOZ,Male,0,No,No,3,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,107.95,313.6,108.57,Yes,Yes
2826-UWHIS,Male,0,Yes,No,45,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,78.28,Yes,Yes
1448-PWKYE,Male,0,Yes,Yes,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,80,80.12,No,No
7501-IWUNG,Female,0,Yes,Yes,61,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.8,4616.05,75.64,Yes,Yes
4957-TREIR,Male,0,No,No,3,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),64.4,195.65,65.08,Yes,Yes
7251-LJBQN,Female,1,No,No,40,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,98.59,Yes,Yes
8040-MNRTF,Female,0,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,71.58,Yes,Yes
1536-HBSWP,Female,0,No,No,1,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.9,49.9,55.47,Yes,Yes
5313-FPXWG,Male,0,No,No,51,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.6,1266.4,24.96,Yes,Yes
0067-DKWBL,Male,1,No,No,2,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,48.19,No,No
0946-FKYTX,Male,0,No,No,52,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,30.1,1623.4,30.33,Yes,Yes
5076-YVXCM,Male,0,No,No,51,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.4,4149.45,86.69,Yes,Yes
8262-COGGB,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,20.45,20.5,Yes,Yes
6663-JOCQO,Male,0,Yes,Yes,31,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,2344.5,82.74,Yes,Yes
9620-QJREV,Male,0,No,Yes,47,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,18.9,Yes,Yes
2276-YDAVZ,Female,0,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.1,£270.7,79.71,No,No
2682-KEVRP,Female,1,No,No,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,417,20.59,Yes,Yes
2480-JZOSN,Female,0,Yes,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,20.65,19.9,Yes,Yes
0078-XZMHT,Male,0,Yes,No,72,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,86.58,Yes,Yes
5896-NPFWW,Male,0,Yes,Yes,3,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.15,168.15,50.73,Yes,No
9978-HYCIN,Male,1,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,87.49,Yes,Yes
8338-QIUNR,Male,0,Yes,Yes,72,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),66.5,4811.6,65.31,Yes,Yes
1525-LNLOJ,Male,0,Yes,Yes,66,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7,64.89,Yes,Yes
9450-TRJUU,Male,0,No,No,35,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,83.15,2848.45,82.0,Yes,Yes
1766-GKNMI,Male,0,No,No,29,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.9,2516.2,88.64,Yes,Yes
6942-LBFDP,Female,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.55,33.6,20.14,Yes,Yes
1456-TWCGB,Male,0,No,No,4,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,208.45,48.03,Yes,Yes
7133-VBDCG,Female,0,No,No,25,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.85,2015.35,82.25,No,No
7596-ZYWBB,Female,0,No,No,65,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,59.6,3739.8,57.09,Yes,Yes
8329-UTMVM,Male,1,No,No,27,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.65,2964,106.93,Yes,Yes
3014-WJKSM,Male,0,Yes,No,29,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,73.53,Yes,Yes
3347-YJZZE,Male,0,Yes,Yes,29,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.1,2211.8,79.66,Yes,Yes
1029-QFBEN,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,£19.55,17.43,No,No
7929-DMBCV,Female,0,Yes,No,20,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.0,1683.7,80.41,Yes,Yes
9661-JALZV,Female,0,No,No,58,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.7,1519,28.51,Yes,Yes
5433-KYGHE,Female,0,No,Yes,14,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.0,1164.05,88.29,Yes,Yes
4312-KFRXN,Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4,1710.9,20.32,Yes,Yes
5575-TPIZQ,Male,0,No,No,46,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,89.5,Yes,Yes
0114-IGABW,Female,0,Yes,No,71,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,59.47,Yes,Yes
9944-AEXBM,Male,0,No,No,32,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,89.69,Yes,Yes
1853-ARAAQ,Female,0,No,No,26,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.35,1277.5,48.64,Yes,Yes
6952-OMNWB,Male,1,Yes,No,68,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.35,5589.3,75.77,Yes,Yes
4697-LUPSU,Male,0,Yes,Yes,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,34.75,19.14,Yes,Yes
8434-VGEQQ,Male,0,Yes,Yes,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.55,1305.95,22.3,No,Yes
4952-YSOGZ,Female,0,Yes,Yes,4,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,86.18,No,No
1589-AGTLK,Male,0,No,No,3,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,45.74,No,No
5244-IRFIH,Male,1,Yes,No,33,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55,93.69,No,No
6549-YMFAW,Male,1,Yes,No,9,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,204.55,22.52,Yes,Yes
4950-HKQTE,Female,0,No,No,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,605.9,24.84,Yes,Yes
6786-OBWQR,Female,0,Yes,Yes,5,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,356.1,82.58,Yes,Yes
2684-EIWEO,Female,1,No,No,30,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),91.7,£2758.15,91.69,No,No
2753-JMMCV,Male,0,No,No,65,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.2,4805.65,74.95,Yes,Yes
6439-GTPCA,Female,0,No,No,45,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,3941.7,89.6,No,No
